id,business_name,category,email,phone,bio,website,address,city,zip_code,approval_status,created_at
3,Clearwater Hvac Experts,hvac,info@clearwaterhvacexperts.com,(727) 555-3515,"Professional hvac services in Clearwater and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://clearwaterhvacexperts.com,5162 Central Ave,Clearwater,33703,approved,2026-01-10T11:24:31.516416
19,Clearwater Hvac Experts,hvac,info@clearwaterhvacexperts.com,(727) 555-3515,"Professional hvac services in Clearwater and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://clearwaterhvacexperts.com,5162 Central Ave,Clearwater,33774,approved,2026-01-10T11:24:31.774502
11,Clearwater Pool Service Experts,pool_service,info@clearwaterpoolserviceexperts.com,(727) 555-8318,"Professional pool service services in Clearwater and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://clearwaterpoolserviceexperts.com,3615 Central Ave,Clearwater,33755,approved,2026-01-10T11:24:31.652610
14,Dunedin Legal Experts,legal,info@dunedinlegalexperts.com,(727) 555-2410,"Professional legal services in Dunedin and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://dunedinlegalexperts.com,1249 Central Ave,Dunedin,33760,approved,2026-01-10T11:24:31.698850
6,Dunedin Painting Experts,painting,info@dunedinpaintingexperts.com,(727) 555-0614,"Professional painting services in Dunedin and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://dunedinpaintingexperts.com,5902 Central Ave,Dunedin,33801,approved,2026-01-10T11:24:31.576827
22,Dunedin Painting Experts,painting,info@dunedinpaintingexperts.com,(727) 555-0614,"Professional painting services in Dunedin and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://dunedinpaintingexperts.com,5902 Central Ave,Dunedin,33702,approved,2026-01-10T11:24:31.817387
8,Gulfport Carpentry Experts,carpentry,info@gulfportcarpentryexperts.com,(727) 555-1456,"Professional carpentry services in Gulfport and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://gulfportcarpentryexperts.com,195 Central Ave,Gulfport,33803,approved,2026-01-10T11:24:31.606667
24,Gulfport Carpentry Experts,carpentry,info@gulfportcarpentryexperts.com,(727) 555-1456,"Professional carpentry services in Gulfport and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://gulfportcarpentryexperts.com,195 Central Ave,Gulfport,33704,approved,2026-01-10T11:24:31.843828
16,Gulfport Photography Experts,photography,info@gulfportphotographyexperts.com,(727) 555-8347,"Professional photography services in Gulfport and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://gulfportphotographyexperts.com,9643 Central Ave,Gulfport,33770,approved,2026-01-10T11:24:31.725484
12,Largo Handyman Experts,handyman,info@largohandymanexperts.com,(727) 555-0618,"Professional handyman services in Largo and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://largohandymanexperts.com,3221 Central Ave,Largo,33756,approved,2026-01-10T11:24:31.666878
4,Largo Roofing Experts,roofing,info@largoroofingexperts.com,(727) 555-7129,"Professional roofing services in Largo and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://largoroofingexperts.com,4466 Central Ave,Largo,33704,approved,2026-01-10T11:24:31.533942
20,Largo Roofing Experts,roofing,info@largoroofingexperts.com,(727) 555-7129,"Professional roofing services in Largo and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://largoroofingexperts.com,4466 Central Ave,Largo,33777,approved,2026-01-10T11:24:31.788572
13,Pinellas Park Auto Repair Experts,auto_repair,info@pinellasparkautorepairexperts.com,(727) 555-7407,"Professional auto repair services in Pinellas Park and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://pinellasparkautorepairexperts.com,3816 Central Ave,Pinellas Park,33759,approved,2026-01-10T11:24:31.683263
5,Pinellas Park Landscaping Experts,landscaping,info@pinellasparklandscapingexperts.com,(727) 555-4281,"Professional landscaping services in Pinellas Park and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://pinellasparklandscapingexperts.com,9626 Central Ave,Pinellas Park,33705,approved,2026-01-10T11:24:31.548036
21,Pinellas Park Landscaping Experts,landscaping,info@pinellasparklandscapingexperts.com,(727) 555-4281,"Professional landscaping services in Pinellas Park and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://pinellasparklandscapingexperts.com,9626 Central Ave,Pinellas Park,33701,approved,2026-01-10T11:24:31.805072
7,Safety Harbor Flooring Experts,flooring,info@safetyharborflooringexperts.com,(727) 555-0836,"Professional flooring services in Safety Harbor and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://safetyharborflooringexperts.com,1156 Central Ave,Safety Harbor,33802,approved,2026-01-10T11:24:31.591050
23,Safety Harbor Flooring Experts,flooring,info@safetyharborflooringexperts.com,(727) 555-0836,"Professional flooring services in Safety Harbor and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://safetyharborflooringexperts.com,1156 Central Ave,Safety Harbor,33703,approved,2026-01-10T11:24:31.830727
15,Safety Harbor Real Estate Experts,real_estate,info@safetyharborrealestateexperts.com,(727) 555-1653,"Professional real estate services in Safety Harbor and surrounding Tampa Bay areas. Licensed, insured, and committed to quality workmanship. Family-owned and operated with over 15 years of experience serving the community.",https://safetyharborrealestateexperts.com,2526 Central Ave,Safety Harbor,33761,approved,2026-01-10T11:24:31.712552
