name,domain,category,tier,emoji,brand_type,tagline
StPetePros,stpetepros.com,local,business,🏆,community,Find trusted professionals in St. Petersburg
Soulfra,soulfra.com,tech,foundation,🌟,blog,AI-powered content platform
DeathToData,deathtodata.com,tech,foundation,💀,blog,Privacy-first data solutions
Calriven,calriven.com,creative,creative,🎨,blog,Creative storytelling platform
HowToCookAtHome,howtocookathome.com,lifestyle,creative,👨‍🍳,blog,Easy home cooking recipes
Example Tech,exampletech.com,tech,business,💻,blog,Technology solutions
Creative Studio,creativestudio.com,creative,creative,🎭,blog,Design and creativity
Business Hub,businesshub.com,business,business,💼,blog,Business resources and tools
Gaming World,gamingworld.com,gaming,creative,🎮,game,Gaming community and reviews
Health First,healthfirst.com,health,business,🏥,blog,Health and wellness tips
